Date, Open, High, Low, Close
03/31/20, 7740.06, 7880.31, 7642.86, 7700.10
03/30/20, 7583.46, 7784.35, 7539.97, 7774.15
03/27/20, 7554.25, 7716.24, 7491.14, 7502.38
03/26/20, 7462.21, 7809.82, 7462.21, 7797.54
03/25/20, 7421.36, 7671.21, 7276.40, 7384.30
03/24/20, 7196.15, 7418.38, 7169.86, 7417.86
03/23/20, 6847.28, 6984.94, 6631.42, 6860.67
03/20/20, 7248.07, 7354.44, 6854.67, 6879.52
03/19/20, 6996.45, 7341.38, 6858.38, 7150.58
03/18/20, 6902.32, 7182.83, 6686.35, 6989.84
03/17/20, 7072.00, 7406.23, 6828.91, 7334.78
03/16/20, 7392.73, 7422.20, 6882.86, 6904.59
03/13/20, 7610.39, 7875.93, 7219.09, 7874.88
03/12/20, 7398.58, 7712.33, 7194.67, 7201.80
03/11/20, 8136.25, 8181.36, 7850.94, 7952.05
03/10/20, 8219.76, 8347.40, 7930.43, 8344.25
03/09/20, 7957.93, 8243.31, 7943.16, 7950.68
03/06/20, 8469.01, 8612.36, 8375.13, 8575.62
03/05/20, 8790.09, 8921.08, 8677.39, 8738.60
03/04/20, 8834.10, 9019.96, 8757.66, 9018.09
03/03/20, 8965.10, 9070.32, 8602.90, 8684.09
03/02/20, 8667.14, 8952.81, 8543.35, 8952.16
02/28/20, 8269.74, 8591.82, 8264.16, 8567.37
02/27/20, 8744.03, 8904.11, 8562.05, 8566.48
02/26/20, 9011.55, 9148.32, 8927.80, 8980.77
02/25/20, 9301.20, 9315.25, 8940.49, 8965.61
02/24/20, 9188.44, 9322.88, 9166.01, 9221.28
02/21/20, 9708.01, 9715.94, 9542.33, 9576.59
02/20/20, 9799.20, 9820.86, 9636.94, 9750.96
02/19/20, 9782.81, 9838.37, 9777.10, 9817.18
02/18/20, 9679.04, 9747.68, 9675.80, 9732.74
02/14/20, 9728.90, 9746.36, 9693.05, 9731.18
02/13/20, 9657.04, 9748.32, 9650.02, 9711.97
02/12/20, 9688.60, 9728.77, 9666.68, 9725.96
02/11/20, 9680.89, 9714.74, 9617.21, 9638.94
02/10/20, 9493.63, 9628.66, 9493.63, 9628.39
02/07/20, 9526.64, 9570.09, 9496.53, 9520.51
02/06/20, 9540.98, 9575.66, 9505.68, 9572.15
02/05/20, 9574.10, 9574.93, 9454.93, 9508.68
02/04/20, 9398.39, 9485.38, 9374.06, 9467.97
02/03/20, 9190.72, 9299.85, 9188.56, 9273.40
01/31/20, 9324.33, 9324.80, 9123.22, 9150.94
01/30/20, 9211.15, 9303.00, 9185.18, 9298.93
01/29/20, 9318.26, 9329.11, 9249.03, 9275.16
01/28/20, 9201.82, 9288.87, 9182.33, 9269.68
01/27/20, 9092.46, 9185.45, 9088.04, 9139.31
01/24/20, 9446.20, 9451.43, 9273.23, 9314.91
01/23/20, 9377.72, 9409.20, 9334.13, 9402.48
01/22/20, 9413.61, 9439.29, 9375.13, 9383.77
01/21/20, 9361.07, 9397.58, 9350.20, 9370.81
01/17/20, 9392.37, 9393.48, 9346.81, 9388.94
01/16/20, 9313.44, 9357.92, 9301.32, 9357.13
01/15/20, 9253.76, 9298.82, 9231.14, 9258.70
01/14/20, 9270.61, 9298.32, 9226.48, 9251.33
01/13/20, 9213.72, 9274.49, 9193.06, 9273.93
01/10/20, 9232.94, 9235.19, 9164.66, 9178.86
01/09/20, 9202.27, 9215.95, 9158.50, 9203.43
01/08/20, 9068.03, 9168.89, 9059.38, 9129.24
01/07/20, 9076.65, 9091.93, 9042.56, 9068.58
01/06/20, 8943.50, 9072.41, 8943.50, 9071.46
01/03/20, 8976.43, 9065.75, 8976.43, 9020.77
01/02/20, 9039.46, 9093.43, 9010.89, 9092.19
